UB mesh mode: 32 GPUs with full mesh connectivity (no switches)
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 18: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 19: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 20: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 21: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 22: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 23: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 24: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 25: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 26: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 27: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 28: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 29: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 30: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 31: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 5 <-> 6: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 5 <-> 7: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 5 <-> 8: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 5 <-> 9: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 5 <-> 10: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 5 <-> 11: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 5 <-> 12: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 5 <-> 13: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 5 <-> 14: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 5 <-> 15: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 5 <-> 16: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 5 <-> 17: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 5 <-> 18: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 5 <-> 19: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 5 <-> 20: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 5 <-> 21: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 5 <-> 22: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 5 <-> 23: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 5 <-> 24: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 5 <-> 25: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 5 <-> 26: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 5 <-> 27: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 5 <-> 28: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 5 <-> 29: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 5 <-> 30: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 5 <-> 31: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 6 <-> 7: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 6 <-> 8: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 6 <-> 9: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 6 <-> 10: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 6 <-> 11: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 6 <-> 12: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 6 <-> 13: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 6 <-> 14: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 6 <-> 15: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 6 <-> 16: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 6 <-> 17: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 6 <-> 18: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 6 <-> 19: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 6 <-> 20: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 6 <-> 21: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 6 <-> 22: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 6 <-> 23: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 6 <-> 24: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 6 <-> 25: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 6 <-> 26: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 6 <-> 27: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 6 <-> 28: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 6 <-> 29: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 6 <-> 30: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 6 <-> 31: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 7 <-> 8: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 7 <-> 9: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 7 <-> 10: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 7 <-> 11: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 7 <-> 12: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 7 <-> 13: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 7 <-> 14: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 7 <-> 15: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 7 <-> 16: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 7 <-> 17: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 7 <-> 18: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 7 <-> 19: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 7 <-> 20: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 7 <-> 21: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 7 <-> 22: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 7 <-> 23: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 7 <-> 24: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 7 <-> 25: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 7 <-> 26: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 7 <-> 27: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 7 <-> 28: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 7 <-> 29: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 7 <-> 30: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 7 <-> 31: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 8 <-> 9: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 8 <-> 10: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 8 <-> 11: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 8 <-> 12: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 8 <-> 13: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 8 <-> 14: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 8 <-> 15: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 8 <-> 16: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 8 <-> 17: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 8 <-> 18: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 8 <-> 19: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 8 <-> 20: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 8 <-> 21: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 8 <-> 22: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 8 <-> 23: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 8 <-> 24: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 8 <-> 25: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 8 <-> 26: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 8 <-> 27: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 8 <-> 28: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 8 <-> 29: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 8 <-> 30: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 8 <-> 31: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 9 <-> 10: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 9 <-> 11: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 9 <-> 12: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 9 <-> 13: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 9 <-> 14: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 9 <-> 15: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 9 <-> 16: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 9 <-> 17: delay=1000ns, bw=2000000000000
