[TOPOLOGY_DEBUG] Setting up network topology:
[TOPOLOGY_DEBUG]   node_num=32 gpus_per_server=8
[TOPOLOGY_DEBUG]   nvswitch_num=0 switch_num=0
[TOPOLOGY_DEBUG]   link_num=496 enable_ub_mesh=0
[UB_MESH_DEBUG] Detected UB mesh topology - implementing distributed routing
[LINK_DEBUG] Creating link 82: src=2 dst=24 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 83: src=2 dst=25 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 84: src=2 dst=26 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 85: src=2 dst=27 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 86: src=2 dst=28 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 87: src=2 dst=29 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 88: src=2 dst=30 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 89: src=2 dst=31 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 90: src=3 dst=4 rate=7200Gbps delay=0.000025ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 91: src=3 dst=5 rate=7200Gbps delay=0.000025ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 92: src=3 dst=6 rate=7200Gbps delay=0.000025ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 93: src=3 dst=7 rate=7200Gbps delay=0.000025ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 94: src=3 dst=8 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 95: src=3 dst=9 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 96: src=3 dst=10 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 97: src=3 dst=11 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 98: src=3 dst=12 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 99: src=3 dst=13 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 100: src=3 dst=14 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 101: src=3 dst=15 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 102: src=3 dst=16 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 103: src=3 dst=17 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 104: src=3 dst=18 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 105: src=3 dst=19 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 106: src=3 dst=20 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 107: src=3 dst=21 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 108: src=3 dst=22 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 109: src=3 dst=23 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 110: src=3 dst=24 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 111: src=3 dst=25 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 112: src=3 dst=26 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 113: src=3 dst=27 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 114: src=3 dst=28 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 115: src=3 dst=29 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 116: src=3 dst=30 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 117: src=3 dst=31 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=3
[LINK_DEBUG] Creating link 118: src=4 dst=5 rate=7200Gbps delay=0.000025ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 119: src=4 dst=6 rate=7200Gbps delay=0.000025ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 120: src=4 dst=7 rate=7200Gbps delay=0.000025ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 121: src=4 dst=8 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 122: src=4 dst=9 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 123: src=4 dst=10 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 124: src=4 dst=11 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 125: src=4 dst=12 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 126: src=4 dst=13 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 127: src=4 dst=14 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 128: src=4 dst=15 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 129: src=4 dst=16 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 130: src=4 dst=17 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 131: src=4 dst=18 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 132: src=4 dst=19 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 133: src=4 dst=20 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 134: src=4 dst=21 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 135: src=4 dst=22 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 136: src=4 dst=23 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 137: src=4 dst=24 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 138: src=4 dst=25 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 139: src=4 dst=26 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 140: src=4 dst=27 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 141: src=4 dst=28 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 142: src=4 dst=29 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 143: src=4 dst=30 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 144: src=4 dst=31 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=4
[LINK_DEBUG] Creating link 145: src=5 dst=6 rate=7200Gbps delay=0.000025ms original_switch_id=0 effective_switch_id=5
